parallax,spect_type  ,vmag ,bv_color
15.02,A2V         ,5.57,0.118
8.45,F6V         ,8.58,0.492
10.45,G2V         ,8.67,0.651
1.45,M2III       ,7.73,1.731
4.46,K0III       ,7.89,1.129
2.7,K1III       ,8.98,1.3
11.89,A1m...      ,6.94,0.221
5.05,A3IV        ,8.49,0.176
0.42,            ,11.08,0.354
11.96,F8/G0V      ,9.22,0.569
5.47,B8/B9V      ,6.49,-0.035
10.09,F5V         ,8.6,0.463
1.7,K1III       ,9.21,1.161
3.34,G8III       ,8.76,1.038
2.25,M5/M6e      ,8.18,1.537
1.89,G8/K0III    ,8.77,1.054
2.33,K0III       ,9.08,1.134
4.44,F5II/III    ,7.5,0.387
0.68,M3III       ,7.97,1.573
10.47,F5V         ,8.49,0.465
15.84,G8V         ,9.81,0.73
2.36,B9.5IV/V    ,8.28,0.072
15.86,M...        ,9.88,0.966
27.88,K0V         ,7.7,0.79
4.72,F2V         ,9.07,0.447
6.17,K0/K1III    ,6.99,1.131
5.88,G3IV/V      ,9.46,0.671
3.11,K3III       ,7.18,1.547
16.56,G3V         ,8.88,0.66
7.51,F5V         ,8.8,0.477
11.23,F6V         ,8.81,0.474
19.72,G3V         ,8.74,0.62
13.71,G0V         ,7.63,0.6
1.8,K3III       ,8.51,1.576
3.24,B9III/IV    ,8.17,        
15.99,G8IV/V      ,9.72,0.87
4.51,F0V         ,8.55,0.364
14.41,F8V         ,7.18,0.591
7.02,F0IV/V      ,8.55,0.347
5.11,F3II/III    ,7.67,0.406
10.12,F7/F8V      ,8.46,0.513
7.65,F:          ,11.02,0.4
11.43,G5          ,10.28,0.634
5.33,F0IV/V      ,9.9,0.391
6.13,G8V         ,8.53,0.848
17.46,F5V         ,7.46,0.46
3.22,B8V         ,7.64,-0.019
5.66,G3V         ,9.12,0.687
4.01,Ap...       ,7.5,-0.017
5.24,F2V         ,8.47,0.379
2.86,M0III       ,7.98,1.657
3.58,A7II        ,7.83,0.389
11.87,F5V         ,7.22,0.422
1.48,A9:Ia/Iab   ,9.65,0.341
8.52,F7V         ,9.23,0.549
5.04,F3V         ,9.05,0.444
5.13,G8/K0III/IV ,7.8,0.939
21.01,F8V         ,6.8,0.573
4.22,F0V         ,10.05,0.468
3.75,F7/F8IV/V   ,9.78,0.555
9.03,G3/G5IV/V   ,9.33,0.74
4.52,B8V         ,6.61,0.003
3.03,K3III       ,7.99,1.455
4.24,K0III       ,8.47,1.177
1.04,K0          ,9.6,1.031
5.15,Ap Si       ,7.38,0.106
3.29,A1V         ,8.55,0.077
5.42,G8III       ,7.42,1.04
16.94,F7V         ,7.94,0.522
8.35,F3IV/V      ,7.85,0.415
4.9,G8/K0III    ,7.57,1.096
4.96,F3V         ,9.25,0.484
13.8,G8IV/V      ,9.3,0.722
5.88,A6IV/V      ,8.18,0.241
5.75,K0III       ,8.49,1.039
4.89,A2m...      ,8.66,0.352
13.55,G3V         ,9.12,0.581
11.7,K2III       ,4.31,1.3
2.81,A3V         ,9.13,0.184
8.05,G0V         ,8.87,0.596
10.51,G3V         ,9.32,0.635
3.38,G8/K0III    ,8.18,1.04
4.4,F6IV/V      ,8.97,0.52
2.6,G0          ,9.06,0.729
7.09,G0V         ,8.46,0.605
3.71,F3IVp...    ,7.91,0.392
4.73,K0III       ,7.37,1.08
3.51,K1III       ,8.54,1.041
5.46,K0III       ,7.66,1.098
3.16,F7V         ,9.23,0.524
1.73,G8/K0II/III ,8.97,1.19
21.41,K0V         ,8.31,0.835
4.16,F2/F3Ib/II  ,7.61,0.38
6.56,F3V         ,8.51,0.409
4.16,F2IV        ,9.04,0.487
6.66,F0III       ,8.18,0.314
6.34,K0/K1III    ,7.15,1.093
6.31,G8III       ,8.05,0.973
22.25,F5V         ,7.26,0.444
11.06,F5V         ,8.37,0.499
23.29,K2III       ,9.39,0.972
3.33,K2/K3III    ,8.87,1.42
3.86,F2IV        ,9.31,0.446
2.92,K1III       ,9.16,1.295
5.84,B9/B9.5V    ,6.35,-0.033
7.09,G6IV/V      ,8.16,0.852
2.42,A1IV        ,8.74,0.264
4.92,F2/F3V      ,9.66,0.456
2.98,B9IV        ,10.07,0.16
14.95,K0/K1III+.. ,7.22,0.71
1.46,K0III       ,8.64,1.319
3.77,K1III       ,7.36,1.219
8.52,F6V         ,8.33,0.49
3.37,K1III       ,8.38,1.149
5.22,F3/F5V      ,10.06,0.511
6.59,F5V         ,8.9,0.446
3.02,K1IIICN...  ,7.17,1.267
12.95,A2/A3m...   ,6.15,0.203
6.96,F8V         ,8.59,0.56
2.2,A8V+...     ,8.11,0.631
5.71,K1III       ,8.33,1.296
3.93,K1III       ,7.6,1.255
4.48,G8/K0III    ,7.96,1.07
10.15,A9IV        ,6.68,0.319
4.71,G8/K0III    ,7.32,1.031
3.53,K4III       ,6.58,1.571
9.13,F0/F2IV     ,7.2,0.326
0.87,B2III       ,8.75,-0.08
8.39,G8/K0III    ,5.65,0.962
14.6,G5/G6V      ,8.99,0.674
14.28,F0/F2+...   ,7.19,0.339
3.14,A0IV        ,8.89,0.158
12.65,F8V         ,8.7,0.558
4.1,K2/K3III    ,7.24,1.397
9.53,K0:III:+... ,8.03,0.515
7.01,F5V         ,8.75,0.442
0.87,G8/K0III    ,8.77,1.126
2.28,B9.5V       ,8.64,0.077
10,G5/G6V      ,9.77,0.666
11.32,G3/G5IV/V   ,8.84,0.667
9.47,K0III       ,6.32,1.08
1.49,K1/K2III    ,7.8,1.374
8.2,G3V         ,9.55,0.602
4.82,G6IV        ,9.06,0.833
3.49,F0:III/IV   ,9.76,0.483
6.26,F2IV        ,9.03,0.399
1.88,G8Ib        ,5.65,1.273
9,A2V         ,6.95,0.115
3.69,Ap...       ,8.34,0.163
8.86,K1III/IV    ,8.34,1.075
4.75,M0III       ,6.79,1.503
4.46,F0V         ,8.51,0.356
3.22,K1III:      ,9.14,1.258
2.06,K1III       ,7.91,1.393
15.68,K2/K3V      ,9.6,0.976
36.86,G2V         ,5.88,0.62
4.04,A6V         ,8.16,0.33
3.82,K0II/III    ,7.82,1.138
5.76,A5m...      ,7.43,0.2
1.88,K3/K4III    ,7.62,1.58
2.57,B9/B9.5V    ,8.87,0.05
6.73,K3III       ,7.15,1.282
5.95,F8V         ,8.49,0.601
12.44,K0/K1III    ,6.68,0.996
7.61,F0IV        ,8.29,0.362
10.05,A7IV/V      ,6.77,0.209
4.16,K1/K2III    ,7.86,1.282
12.43,F0/F2V      ,7.6,0.401
8.56,            ,9.84,0.622
35.62,K:          ,11.07,1.42
8.38,F5V         ,8.61,0.476
3.7,B8V         ,6.42,-0.001
28.11,            ,10.77,        
6.88,F0III/IV    ,8.15,0.321
6.22,F8V         ,9.69,0.569
11.06,F5V         ,8.15,0.471
3.53,B9.5V       ,8.1,0.016
2.09,B2V         ,6.64,-0.095
2.61,            ,12.02,        
9.9,F5/F6IV/V   ,8.67,0.474
5.26,A2V         ,8.68,0.173
5.46,K1III       ,8.55,1.029
4,K1III       ,8.47,1.322
4.65,K2III       ,8.11,1.459
2.67,G3III/IV    ,8.31,0.903
9.74,F7/F8V      ,9.29,0.561
10.58,G0V         ,8.09,0.617
7.49,G8/K0III+.. ,5.27,0.756
16.89,K0IV        ,7.77,0.898
8.54,K0III       ,8.39,0.955
3.87,F0/F2IV/V   ,9.42,0.459
4.01,B3IV        ,6.35,0.089
0.46,M5III       ,8.77,1.575
8.9,F0V         ,8.38,0.355
1.91,R...        ,8.39,1.6
3.74,K2/K3III:p  ,5.95,1.411
4,K1III       ,8.56,1.165
1.9,K1III       ,8.19,1.341
6.81,G5V         ,9.01,0.705
2.56,K2III       ,8.54,1.388
13.2,F6V         ,8.87,0.539
7.09,F6V         ,9.31,0.534
2.4,A0IV        ,8.78,0.102
23.01,K1/K2V      ,9.48,0.865
6.41,K3IIICN...  ,7.28,1.28
4.43,B9IV/V      ,7.51,0.048
8.42,Fm...       ,6.84,0.436
6.05,K0III       ,6.8,1.049
14.84,G6/G8V:     ,9.42,0.726
4.06,F6/F7III/IV ,9.16,0.505
4.67,F3V         ,8.97,0.47
13.4,G1V         ,8.78,0.602
11.52,G3V         ,8.74,0.638
3,M0/M1III    ,7.74,1.591
3.99,K0III       ,8.96,1.273
1.03,G3III       ,9.27,0.829
5.53,F0IV/V      ,8.05,0.352
5.05,K0III       ,7.34,1.079
25.18,G2V         ,7.68,0.608
13.96,G3V         ,9.19,0.666
2.22,K2III       ,7.64,1.308
6.02,F8/G0IV     ,8.16,0.576
9.59,F5V         ,8.19,0.48
30.39,K2V         ,8.59,0.89
5.8,A1V         ,9.02,0.143
9.34,G8III       ,5.84,0.932
10.11,F6V         ,7.16,0.485
1.89,K5III       ,8.01,1.622
4.78,A3V         ,8.43,0.205
6.99,            ,10.79,0.504
4.48,F7V         ,8.61,0.545
2.35,F3IV        ,8.48,0.448
8.25,G2IV/V      ,9.69,0.626
9.73,F2IV/V      ,7.41,0.334
20.94,            ,10.35,1.086
4.63,F5V         ,9.48,0.531
5.74,K0III       ,7.52,1.094
9.99,G5IV/V      ,9.68,0.674
12.56,F7V         ,7.64,0.535
4.14,B6IV        ,7.17,-0.061
10.19,G2V         ,9.35,0.615
2.75,B9V         ,7.99,-0.005
16.89,G8/K0V:+... ,8.58,0.648
5.33,F0IV        ,8.83,0.383
14.14,G0V         ,9.16,0.618
8.03,G5III:+...  ,7.15,0.866
2.74,G8III       ,8.99,1.057
7.5,F2V         ,8.3,0.418
5.62,A1V         ,7.64,0.058
13.94,G2V         ,9.3,0.646
3.77,K0III       ,8.35,1.141
8.77,F3IV/V      ,8.37,0.435
14.88,G2V         ,7.44,0.684
13.45,K1/K2III    ,5.29,1.049
3.5,G8III       ,8.35,1.079
32.66,K2IV/V      ,9.01,0.98
8.17,A0IV        ,5.53,0.035
1.52,B5          ,11.17,0.064
5.44,A3II        ,8.19,0.317
8.7,F6/F7V      ,8.61,0.537
8.57,G3V         ,9.62,0.644
10.38,K0III       ,5.72,1.055
1.02,K2III:      ,8.28,1.561
4.29,B9IV/V      ,7.61,-0.015
3.47,F2V         ,9.69,0.53
1.96,K2III       ,8.5,1.244
4.46,F0IV/V      ,9.5,0.432
8,F3/F5V      ,8.84,0.473
7.23,F2V         ,8.61,0.41
6.74,F0IV        ,7.2,0.313
19.27,K5          ,9.8,0.92
2.35,G8III       ,8.96,1.19
5.63,F6/F7V      ,9.71,0.595
5.43,F5V + F5    ,8.05,0.46
8.56,G3V:        ,9.9,0.73
