parallax,spect_type  ,vmag ,bv_color
27.56,K5V         ,10.38,1.308
1.94,F5III       ,5.49,0.622
3.62,M4/M5III    ,9.46,1.13
10.72,F5V         ,8.48,0.51
6.34,F5V         ,8.98,0.52
0.9,G5/G6IV/V   ,8.88,0.983
33.89,K3V         ,8.99,0.997
11.09,F3V         ,7.4,0.455
3.52,K0III       ,7.79,1.23
6.26,F0V         ,9.46,0.334
6.87,G6II        ,5.54,0.846
-1.46,K1III       ,8.05,1.515
1.49,M2Ia        ,8.56,2.39
16.32,G5V         ,8.76,0.727
0.96,B1Ib        ,7.56,0.418
23.6,K2V         ,9.36,1.003
4.19,K0III       ,8.97,1.173
1.13,O5e         ,7.26,0.219
4.83,A7IV/V      ,6.96,0.21
1.24,K3/K4III+.. ,6.59,1.495
3.34,K4III       ,7.89,1.392
7.84,F0IV/V      ,8.75,0.374
3.99,F0V         ,9.41,0.407
16.09,F6V         ,8.22,0.439
17.42,G5III       ,7.49,0.722
5.93,A9IV        ,8.29,0.323
1.44,B5Ve        ,7.87,-0.069
2.06,G8III       ,8.76,0.945
0.47,K3III       ,8.69,1.465
4.42,K0III/IV    ,8.82,0.97
7.18,F3V         ,8.69,0.433
3.61,B8V         ,8.32,-0.031
4.23,F0          ,9.68,0.82
29.97,G5V         ,7.49,0.675
84.5,K3V         ,6.66,1.017
1.93,A1IV        ,10.25,0.906
7.52,M6III       ,4.95,1.356
2.84,B9.5:Vne... ,9.06,0.126
4.21,K1III       ,8.87,1.21
2,B2Ib        ,7.84,0.133
4.97,K0III       ,7.66,1.106
0.24,B8IV        ,8.42,0.132
3.61,A0IV/V      ,8.24,0.21
7.47,F2IV        ,7.86,0.356
3.39,K1III       ,8.09,1.254
5.12,F0III       ,8.39,0.407
12.12,F8IV        ,8.72,0.507
-0.76,B3IV/V      ,8.89,0.106
1.46,B9II/III    ,7.51,-0.01
2.92,B9.5V       ,6.86,-0.021
-0.12,K2III       ,8.51,1.624
13.75,G0V         ,8.39,0.606
1.79,G5          ,8.64,1.035
1.97,K4III       ,8.69,1.444
        ,            ,10.53,        
0.83,C(R)        ,11.18,        
6.94,A3m...      ,6.41,0.181
0.64,M2III       ,8.68,1.665
2.8,K1III       ,8.54,1.221
3.34,G6III       ,8.54,0.97
5.59,G5IV/V      ,9.4,0.763
5.49,A8/A9V      ,7.79,0.249
8.18,F0IV/V      ,8.58,0.328
20.9,F6V         ,7.18,0.47
3.82,B9.5IV/V    ,5.85,0.008
6.4,B5III + F8  ,4.48,0.169
15.48,K0III/IV    ,7.15,0.953
4.12,A1V         ,8.55,0.037
3.77,G6III       ,8.35,1.004
2.69,G6III       ,7.75,0.918
1.3,B9.5V       ,9.53,0.022
54.84,K2IV        ,4.44,1.078
2.26,M4III       ,7.52,1.576
2.2,G8          ,8.97,1.184
1.74,K3III       ,8.16,1.529
30.07,G2IV        ,7.17,0.637
1.97,G5          ,9.12,1.112
-0.6,K1IIICN...  ,8.73,1.154
0.22,M1/M2III    ,7.81,1.696
3.41,A1V         ,8.6,0.117
23.29,K7          ,10.32,1.2
5.85,F5IV/V      ,9.16,0.409
9.56,F6V         ,8.54,0.48
1.23,            ,10.01,0.834
1.72,K3III       ,7.84,1.539
0.45,B9.5IV      ,9.48,0.034
5.72,F5V         ,8.88,0.473
23.53,K7          ,10.9,1.31
16.64,G8/K0V      ,9.25,0.877
8.35,G8V         ,9.2,0.811
12.06,G5V         ,9.3,0.647
3.05,B5IV        ,6.34,0.031
4.71,A8Ib        ,2.21,0.189
1.49,B8IV/V      ,8.67,0.007
18.97,G2V         ,7.96,0.646
4.4,A5IV        ,8.74,0.256
1.65,B9.5V       ,8.67,0.051
7.94,A2          ,9.88,0.197
2.42,F5/F6w      ,9.9,0.471
        ,G0:+...     ,9,        
7.46,F8V         ,8.86,0.605
2.29,F3IV/V      ,9.86,0.495
1.51,K1/K2III    ,8.83,1.329
12.27,A5IV/V      ,7.04,0.195
6.39,A2IV        ,8.84,0.249
2.17,B4/B5III/IV ,6.5,-0.098
6,A3m...      ,7.55,0.199
4.54,F2IV/V      ,9.48,0.45
1.41,G8/K0III    ,8.76,1.039
6.94,F0V         ,8.68,0.347
0.79,M5e         ,10.44,1.5
9.22,B9Vn        ,6.3,-0.034
0.12,G6II        ,8.23,1.068
0.38,G0Ib        ,8.35,0.907
7.12,F6V         ,9.57,0.485
5.07,G8III       ,7.66,0.94
6.27,G5V         ,9.06,0.73
6.14,A1mA8-F0    ,8.6,0.226
2.83,K2IIICN...  ,8.41,1.387
0.53,K1II        ,6.87,1.495
4.41,B9IVp...    ,7.14,-0.041
4.76,B8V         ,6.51,-0.027
4.67,B9V         ,7.83,0.031
3.7,G5IV/V      ,9.63,0.646
2.64,A1IV        ,7.53,0.043
5.54,G5V         ,9.16,0.738
4.84,K1IIICN...  ,8.52,1.183
1.43,K0III       ,9.03,1.078
4.02,F0V         ,8.83,0.314
1.65,B5II        ,4.08,-0.013
10.01,F8V         ,8.69,0.539
3.18,G8/K0III    ,8.81,1.09
5.25,B2IV-V      ,4.93,-0.182
0.12,B9.5V       ,9.68,0.043
4.32,B9.5V       ,7.68,0.06
2.02,A0Vn        ,8.07,0.052
3.05,B9.5V:      ,9.37,0.02
-1.62,            ,11.19,0.441
2.58,K0          ,9.08,1.256
7.31,F2V         ,8.53,0.413
2.44,B9.5IV      ,8.68,0.013
5.26,B8/B9V      ,7.99,-0.058
2.65,G8III       ,8.91,1.183
5.97,A3V         ,8.3,0.153
3.41,G2IV        ,9.48,0.706
0.17,K1III       ,9.11,1.066
16.1,F3/F5V      ,7.76,0.46
0.48,B2.5Ia      ,5.36,0.213
2.86,G8/K0III    ,8.77,1.082
18.29,G2V         ,8.47,0.631
4.74,A0V         ,7.22,0.04
27.5,G1V         ,6.44,0.593
19.52,K2V         ,9.25,0.831
2.36,F2III       ,9.05,0.342
25.56,G4IV        ,6.88,0.624
8.52,G8V         ,8.5,0.815
15.69,G8/K0IV/V   ,9.26,0.8
4.23,B9II/III    ,7.02,-0.08
0.01,F0II        ,8.84,1.086
2.68,Ap Si       ,7.83,-0.066
0.17,K3III       ,8.57,1.656
1.68,B9IV/V      ,9.45,0.048
4.34,K0III       ,7.47,1.092
3.25,G6III/IV    ,8.38,0.915
5.31,F0III/IV    ,8.16,0.378
2.62,K3III       ,7.5,1.518
7.19,G6IV        ,8.37,0.809
-0.23,A0II/III    ,6.46,0.111
2.91,M8III       ,7.94,1.234
2.17,B8III       ,7.84,-0.06
12.55,A0IV        ,5.41,0.082
5.13,K3III       ,8.58,1.29
9.29,F5V         ,8.81,0.429
4.52,F2V         ,9.3,0.474
1.95,B5V         ,7.04,-0.104
3.81,B9V         ,7.3,-0.005
1.33,G5          ,8.71,1.153
3.17,G6III       ,8.81,0.872
-0.17,G8III+...   ,8.34,0.849
7.28,A2IV        ,7.36,0.182
22.34,            ,12.35,1.5
1.76,K4/K5III:   ,4.69,1.562
12.52,G5V         ,8.3,0.642
4.15,K1III       ,9.06,1.168
7.44,B9II/III    ,7.62,0.1
6.77,B9IV        ,5.5,-0.125
2.59,K5III       ,7.04,1.585
1.26,K1II/III    ,6.4,1.366
4.38,A1IV/V      ,7.34,0.098
5.02,G5IV:+...   ,8.9,0.724
-1.08,B1V         ,8.79,0.045
8.49,F3V         ,8.76,0.432
11.3,F3V         ,8.07,0.456
1.09,B5V:        ,7.55,-0.094
1.98,M1/M2III    ,8.58,1.706
12.84,F5V         ,6.47,0.397
6.19,A4V         ,8.74,0.212
11.76,A9IV        ,7.52,0.319
3.3,M3III       ,8.61,1.561
1.48,            ,11.06,0.432
7.6,F8IV:       ,8.75,0.597
1.34,B7/B8V      ,8.86,-0.063
4.4,B9V         ,7.46,0.044
3.75,A3m...      ,8.94,0.258
2.16,K2III       ,7.24,1.349
7.31,K3III       ,8.21,1.184
2.37,K0III       ,8.62,1.114
2.26,K1III       ,7.41,1.268
7.48,A2V         ,7.72,0.094
4.69,F5IV/V      ,8.81,0.486
2.57,A1V         ,8.94,0.174
0.65,B1.5Ia      ,7.8,0.906
9.06,B4Vn        ,4.62,-0.153
3.09,M3III       ,8.64,1.551
3.28,B3Vn        ,6.95,-0.12
1.39,A0/A1V      ,7.66,0.098
5.83,G3/G5III/IV ,9.7,0.644
2.29,K0II/IIICN. ,6.87,1.246
15.93,F7IV        ,6.53,0.512
3.42,K2III       ,8.35,1.263
29.76,K3V         ,9.42,1.04
6.06,K0III       ,6.8,1.044
3.65,K2/K3III:+. ,8.13,1.293
10.91,F0IV/V      ,8.86,0.342
3.35,K1III       ,7.78,1.219
9.37,G5V         ,9.46,0.698
20.07,G3V         ,8.52,0.648
14.55,K0:V+...    ,8.66,0.709
6.87,F6V         ,9.14,0.502
5.62,G5IIIp      ,7.52,0.842
5.6,F5V         ,9.69,0.521
3.37,M0III       ,7.06,2.025
7.48,A2/A3III    ,7.57,0.188
2.04,B6III       ,7.77,-0.094
26.56,K7V         ,10.65,1.03
4.99,G8/K0III    ,7.15,1.061
3.76,G8III       ,8.18,1.056
20.98,G8/K0V      ,9.12,0.76
4.07,A2V         ,7.04,0.07
5.47,K2III       ,8.42,1.145
2.24,F6/F7V      ,9.7,0.546
3.84,K1III       ,7.89,1.087
2.5,B7/B8III    ,7.24,-0.074
4.8,B9.5/A0III  ,6.7,-0.01
13.43,G3V         ,9.06,0.605
55.49,F7IV        ,4.9,0.489
2.26,A0V(n)      ,8.76,0.165
3.99,B8II/III    ,9.36,0.226
1.78,K2III       ,8.19,1.189
10.16,F0V         ,7.32,0.313
3.02,B8/B9III    ,7.61,0.007
9.64,F6V         ,8.76,0.468
6.75,G0V         ,8.8,0.7
13.75,F2IV        ,6.7,0.344
7.98,G5V         ,9.42,0.685
1.2,K2III       ,8.51,1.23
2.6,K4III       ,8.35,1.507
4.05,F7/F8IV/V   ,10.28,0.494
0.3,F0/F2II     ,7.57,0.457
38.2,F3V         ,5.17,0.417
1.22,B7III       ,8.61,0.063
3.97,F5/F6V      ,10.44,0.535
19.63,G3V         ,7.95,0.658
7.72,F6V         ,8.83,0.501
-0.84,B2Ia        ,8.11,1.008
6.88,F7V         ,9.21,0.569
0.65,G8III       ,8.54,1.021
20.02,G5II/III    ,8.51,0.69
2.42,K1IIICN...  ,8.36,1.113
15.86,F7V         ,7.06,0.526
5.95,B8          ,9.22,-0.004
1.97,G8III       ,8.89,1.033
2.74,K2III:      ,8.82,1.47
3.26,K0III       ,7.94,1.023
5.93,K0III       ,8.71,1.141
2.08,M3III       ,9.15,1.538
11.12,B8          ,9.3,-0.007
4.99,F5V         ,9.78,0.516
4.66,F8III       ,9.38,0.446
0.62,K3III       ,9.2,1.36
1.22,K3III       ,8.4,1.556
1.01,B2:Vnne     ,7.61,-0.047
5.86,K3III:      ,7.29,1.087
4.15,K2III       ,8.43,1.388
10.41,K5III       ,3.77,1.562
8.16,F3          ,8.31,0.278
5.08,K4III       ,6.38,1.553
6.48,A0V         ,7.88,0.018
3.82,M2/M3III    ,7.22,1.674
-0.76,O9IV        ,8.68,-0.011
7.12,G0V         ,8.43,0.623
1.36,G8III       ,9.7,0.986
6.47,G2V         ,9.4,0.666
15.59,G8/K0V      ,9.8,0.824
6.21,            ,10.62,0.381
1.54,F2V         ,10.38,0.389
2.2,B0:IV:pe    ,9.09,0.203
3.63,A3V         ,8.91,0.184
6.91,F8V         ,9.43,0.53
9.22,G0V         ,8.9,0.593
9.59,G0V         ,9.52,0.589
10.15,F7V         ,7.96,0.515
15.04,F3V         ,6.13,0.469
10.51,G3IV/V      ,8.79,0.71
12.99,G5V         ,10.19,0.64
24.12,G5V         ,7.48,0.711
12.6,G3V         ,8.69,0.654
5.69,K1III/IVp   ,7.65,1.144
5.51,F2IV        ,8.4,0.446
3.08,K0III       ,7.81,1.18
-1.39,            ,11.63,0.088
3.97,G8/K0III    ,8.95,1.052
5.41,G8III       ,7.24,0.944
2.63,K2/K3       ,7.75,1.269
1.53,K4III       ,7.91,1.532
-1.84,            ,11.68,1.62
4.12,B8IV/V      ,8.12,-0.026
5.76,M4/M5III    ,5.38,1.543
5.67,K1III       ,8.36,0.971
2.89,F0/F2IV     ,9.24,0.435
8.24,F8          ,10.25,0.438
1.39,A8IV/V      ,9.41,0.322
5.92,G3IV/V      ,7.8,0.741
8.38,F5V         ,9.18,0.48
5.39,A4V         ,7.2,0.188
1.55,G8/K0III    ,9.02,1.092
4.79,K1III       ,7.71,1.19
14.36,F8V         ,8.77,0.569
0.93,F8II        ,6.85,1.108
7.95,F3V         ,8.52,0.414
0.55,G0Ia0       ,3.93,1.225
8.77,F0IV        ,7.76,0.371
1.01,K0III       ,8.3,0.964
5.83,A4V         ,6.74,0.224
1.27,K0III       ,9.69,1.168
7.71,G0V:        ,9.67,0.6
6.62,F5V         ,8.27,0.45
7.79,B2IV        ,3.43,-0.19
13.83,F5V         ,7.92,0.486
2.14,            ,10.4,1.062
0.35,Ke          ,10.25,        
0.81,F3/F5V      ,10.57,0.446
9.75,G0V         ,8.15,0.592
1.43,B2IVne      ,6.26,-0.124
5.28,K0III       ,7.22,1.038
1.01,B8III       ,8.93,-0.029
2.72,G5III       ,7.84,0.9
1.44,K2III       ,8.67,1.391
2.36,K0III       ,9.02,0.947
8.19,K3IV/VCN... ,8.03,1.137
13.26,K5V         ,10.32,0.975
2.96,B7II        ,8.69,0.145
2.33,B9Ib/II     ,8.72,0.135
2.7,A9V         ,8.97,0.57
6.04,G0V         ,8.31,0.595
3.7,Ap...       ,7.92,0.066
32.3,G5V         ,6.53,0.677
16.62,G5V         ,9.13,0.62
1.39,Ap Si       ,8.15,-0.054
18.65,F0V         ,6.01,0.297
4.73,K2IIICN...  ,7.36,1.117
-0.27,K1III       ,8.18,1.165
4.69,K2/K3III:   ,9.74,1.334
5.24,F7IV/V      ,9.01,0.525
4.78,K0III/IV    ,7.73,0.99
7.79,K1III+...   ,8.37,1.011
3.8,A4/A5II/III ,7.35,0.193
2.97,M5III       ,7.2,1.436
6.83,G8III       ,6.93,0.954
19.14,F6V         ,7.04,0.538
1.87,K5III       ,7.41,1.548
4.74,F0III       ,8.32,0.361
0.54,G5          ,9.32,1.158
2.98,K4III       ,8.31,1.433
0.59,Ap...       ,9.4,0.288
6.98,G6III       ,5.14,0.986
3.77,B8/B9III    ,7.52,-0.038
1.17,K4III:      ,8.28,1.687
3.28,B9III/IV    ,8.93,0.14
17,G4V         ,8.34,0.619
0.72,K3III:      ,8.98,1.639
4.23,G3IV/V      ,8.82,0.836
1.87,B8V         ,8.4,0.167
2.15,B9V         ,8.19,0.034
1.56,M2III       ,8.66,1.71
0.71,K1III       ,8.46,1.24
4.89,K0/K1III    ,6.41,1.092
6.76,F5V         ,9.2,0.493
10.81,B9.5IV      ,5.24,0.014
3.8,K3IIICN...  ,8.08,1.242
6.73,A7III/IV    ,7.84,0.3
5.5,F5/F6V      ,9.52,0.373
2.07,B5V         ,6.26,-0.104
9.44,G0V         ,8.5,0.649
6.16,K0III/IV    ,9.05,0.873
6.42,F5IV/V      ,8.39,0.481
-0.34,B7III       ,9.17,0.101
6.53,F2IV/V      ,8.02,0.438
11.7,G3V         ,9.12,0.676
2.85,K3III       ,8.42,1.45
2.59,B8II        ,7.75,-0.015
1.1,K5          ,9.36,1.599
4.42,A6V         ,7.91,0.233
3.86,B5Vne       ,7,-0.088
1.65,K4III       ,6.69,1.504
7.44,F6V         ,8.07,0.528
2.5,B8IV/V      ,8.04,-0.018
2.73,G8III       ,8.65,1.146
3.89,K1III       ,6.75,1.177
11.47,F2IV        ,7.35,0.387
4.57,B8III       ,7.99,0.03
3.21,F7V         ,9.22,0.546
7.7,F2III       ,7.38,0.402
3.15,K0III       ,7.9,1.011
4.09,A2IV/V      ,8.16,0.174
3.72,K1III       ,8.31,0.978
-0.88,            ,10.37,        
3.66,K3III       ,7.69,1.418
33.71,K0III-IV... ,3.78,0.945
-1.94,A0III       ,9.64,0.397
14.38,F6V         ,8.52,0.505
1.75,B9V         ,8.73,-0.014
-0.24,B3V         ,7.6,-0.017
11.76,G2V         ,9.06,0.586
11.2,F2V         ,7.4,0.345
1.36,G1Iab/Ib    ,6.79,0.831
7.63,G6IV        ,8.34,0.881
6.7,F2V         ,8.37,0.408
3.78,K1III       ,7.98,1.109
3.74,K0III       ,8.92,1.15
12.14,            ,10.06,0.525
3.58,A0Vn        ,9.4,0.215
10.11,F6/F7IV     ,9.09,0.486
3.67,A1Vn        ,8.28,0.016
2.97,F7IIIw...   ,8.9,0.84
4.32,M5III       ,6.07,1.647
6.53,G2V         ,9.16,0.616
4.4,A4m...      ,9.35,0.426
9.52,F3V         ,8.48,0.443
2.21,G6IV        ,8.32,1.096
8.41,F8V         ,9.23,0.554
0.73,B2/B3Vn     ,7.75,-0.023
4.32,B9.5V       ,8.53,0.072
5.03,M1III       ,5.96,1.692
-8.51,B...        ,8.33,0.273
2.41,M3III:      ,8.01,1.654
5.92,B9.5IV      ,7.25,0.035
5.72,G8/K0III+.. ,7.64,0.868
3.32,G6/G8III    ,9.53,0.946
2.53,B8/B9III    ,7.55,-0.089
0.17,K3/K4III:   ,9.15,1.47
2.96,G8III/IV    ,8.61,0.963
8.5,F8/G0V      ,9.34,0.667
5.35,F3IV/V      ,9.28,0.394
2.27,G8IV        ,8.66,0.957
0.77,K4III       ,7.42,1.647
2.96,K0II        ,7.13,1.304
8.95,F7Vw...     ,9.59,0.607
6.32,F2V         ,9.46,0.371
1.32,B9III       ,8.38,0.014
2.46,K2IIICN...  ,7.46,1.227
33.75,A3V         ,4.07,0.088
2.9,G8/K0III    ,8.51,1.043
12.26,F2V         ,7.6,0.407
2.81,B7/B8V      ,8.17,-0.05
12.36,F5IV        ,6.22,0.461
3.22,A0IV        ,7.39,0.013
1,B3IV/V      ,8.55,0.1
0.66,A0Ib        ,7.47,0.23
4.89,A6V         ,8.28,0.259
2.68,B9III       ,8.82,0.041
5.48,K2III       ,7.14,1.22
5.04,B9IV        ,5.38,-0.029
1.15,F0V         ,9.6,0.45
2.68,A0/A1V      ,8.72,0.223
2.72,A0IV        ,8.57,-0.012
-0.76,G0p SB      ,8.44,1.053
14.78,K1V-VI      ,9.73,0.741
4.59,F6/F7IV     ,9.58,0.5
3.07,F2II        ,7.85,0.466
2.15,B3V         ,8.31,0.294
2.22,G6III       ,7,0.974
4.63,Ap CrEu(Sr) ,8.88,0.056
0.59,K3III       ,7.86,1.57
3.91,A0V         ,8.76,0.061
3.09,B9IV        ,8.48,0.048
7.42,F3V         ,8.8,0.454
3.36,K2III       ,8.24,1.289
4.75,K0III       ,8.3,1.045
4.53,A1IV        ,7.86,0.097
1.12,WC...       ,9.02,0.267
2.65,K0III       ,8.67,1.015
-0.27,G8III       ,8.8,0.963
2.64,K0III       ,9.15,1.037
2.44,K0/K1III:   ,8.65,1.136
-6.72,            ,12.23,        
4.04,K4/K5       ,8.36,1.53
11.09,G0V         ,9.26,0.605
6.33,K0V         ,9.02,0.867
10.03,G2IV/V      ,8.99,0.647
31.99,            ,11.67,1.437
0.96,B8/B9III/IV ,9.64,-0.071
4.78,G5          ,7.67,0.998
4.5,B9V         ,5.69,-0.057
67.2,            ,12.36,        
7.45,F0V         ,8.32,0.429
8.96,B2IV        ,2.79,-0.193
0.94,B8V         ,8.39,-0.007
7.44,A1/A2Vs...  ,7.99,0.116
3.39,G5          ,9.08,1.044
2.3,A0IV        ,7.78,-0.026
7.53,F0V         ,8.86,0.413
1.38,F5II        ,8.97,0.936
4.11,G8III       ,7.72,1.004
3.59,B8II        ,7.64,-0.082
3.12,K1III       ,8.12,1.349
-0.06,A4III       ,8.84,0.329
3.13,F2II        ,3.81,0.317
0.93,A0/A1IV/V   ,9.8,0.272
2.53,G6/G8III    ,9,0.951
2.53,G5          ,9.12,1.235
1.8,B8III       ,8.26,-0.019
0.4,A0Ia        ,5.47,0.5
10.67,G0V         ,8.36,0.613
34.49,K2V         ,9,0.953
1.18,F3II        ,7.95,0.609
10.39,A2m...      ,7.21,0.177
4.16,F0IV:       ,9.7,0.369
-1.91,B1.5Ia      ,7.07,0.16
3.27,B7III       ,6.2,-0.083
10.86,G3V         ,8.4,0.644
16.94,G8V         ,9.17,0.78
3.95,F5V         ,8.99,0.439
19.84,G5IV        ,6.4,0.688
1.94,B7V         ,8.46,-0.057
7.29,K0III       ,7.81,1.092
10.16,K0III       ,7.02,0.996
23.81,G6V         ,7.47,0.721
1.08,A9V         ,8.72,0.294
1.11,B8/B9III    ,8.87,0.08
2.34,K2III       ,7.66,1.264
0.91,B6V         ,8.83,0.046
7.36,A0V         ,7,-0.01
4.14,Ap          ,9.39,0.31
5.17,F0V         ,8.14,0.3
39.39,K3V         ,8.68,1.063
2.78,A0V         ,8.58,0.029
0.76,B2/3V(e)    ,7.9,-0.006
0.59,G8/K0III    ,8.76,1.155
2.41,G6III+...   ,7.7,0.871
2.56,B7Vn        ,7.26,-0.002
3.07,K5III       ,7.11,1.552
9.49,K0/K1III    ,5.91,1.084
9.45,G0V         ,7.94,0.629
2.22,A4V         ,8.11,0.348
0.73,B3V         ,7.63,-0.12
4.13,K1III:      ,8.67,1.159
2.66,K2II/III    ,6.07,1.21
3.43,K0III       ,9.42,1.136
2.28,B9.5II      ,7.81,-0.019
2.87,K0          ,9.17,1.231
1.58,K0IIICN...  ,8.39,1.194
12.02,G3V         ,9.81,0.658
14.07,F7/F8V      ,8.55,0.5
0.29,A2Iab       ,5.98,0.29
3.17,A0IV        ,8.36,-0.03
2.06,B4III       ,6.81,-0.089
7.02,K0III       ,6.75,1.003
6.56,A2V         ,7.03,0.109
8.91,G8V         ,9.11,0.805
5.99,G8IV        ,8.95,0.91
3.5,G6III       ,8.56,0.944
3.32,F2III       ,8.19,0.484
5.27,K0III       ,7.5,1.1
8.54,G5V         ,9.22,0.683
2.18,G8III       ,8.63,1.378
8.06,G8IV        ,9.13,0.788
0.12,B7III       ,8.78,0.12
2.97,K1III       ,8.67,1.158
22.26,K:          ,9.86,1.112
1.01,B1:Vn       ,8.32,0.02
3.89,A3V         ,8.56,0.152
9.48,K0III       ,8.13,1.002
1.72,WN+...      ,9.68,0.395
4.18,F6V         ,9.82,0.522
5.67,F3V         ,9.17,0.446
4.95,F7/F8V      ,9.86,0.56
4.3,K0III       ,8.27,1.201
3.05,B2.5V       ,6.4,-0.094
1.79,B2/B3IV     ,7.41,-0.05
-1.15,B8/B9IV     ,8.77,0.055
5.53,G5V         ,9.69,0.731
0.85,K3III       ,8.73,1.321
5.48,A6V         ,7.91,0.226
2.88,G6IV/V      ,9.28,1.027
22.58,F4V         ,6.21,0.454
2.94,A5IV        ,8.8,0.278
3.55,K0III:      ,8.78,1.141
9.07,F3V         ,8.15,0.441
0.37,B9IV        ,8.59,0.072
9.16,G3V         ,9.6,0.673
12.71,A8V         ,7.17,0.277
3.05,B8IV        ,8.61,-0.023
0.77,C+          ,8.89,2.21
4.8,B9III       ,5.67,0.008
-0.35,G2Ib        ,7.15,1.052
4.62,Ap...       ,8.95,0.173
17.73,F5V         ,6.82,0.394
3.24,K0III       ,8.52,1.061
4.97,F0V         ,9.62,0.425
2.64,G8/K0III    ,8.69,1.015
21.9,            ,10.02,0.824
3.86,G8III       ,7.61,0.955
2.6,B9.5V       ,8.96,0.098
3.57,B8III       ,9.6,0.085
5.43,B9.5V       ,8.84,0.217
5.47,A2V         ,8.55,0.217
1.13,B9III/IV    ,9,0.014
0.97,WC+...      ,9.74,1.176
3.88,F5V         ,8.41,0.486
1.65,B9III       ,8.44,-0.036
10.98,F2III       ,5.93,0.315
0.93,G8II/III+.. ,8.15,1.118
16.16,F7V         ,7.81,0.524
4.19,F0II        ,8.14,0.403
3.49,G8/K0III    ,8.44,1.105
8.17,F5V         ,8.98,0.448
3.6,K2III       ,7.86,1.502
1.59,B3III       ,6.82,-0.094
3.39,            ,11.6,1.15
9.65,F5V         ,7.91,0.521
2.94,B9V         ,8.99,0
3.36,B8/B9V      ,8.75,-0.08
7.64,A2Vs        ,7.46,0.132
-0.23,A4:m...     ,9.02,0.379
0.81,B7IV        ,8.79,-0.127
4.57,B7:Vnnpe    ,6.99,0.168
1.35,K3III       ,8.26,1.426
5.37,G8III       ,8.21,1.029
2.79,B8          ,8.04,-0.106
2.07,K5/M0III:   ,8.59,1.664
10.46,F0V         ,7.2,0.306
32.38,F3V         ,6.11,0.442
5.13,A4:V+...    ,7.57,0.626
3.66,B5III       ,7.36,-0.11
10.22,A3V         ,6.47,0.12
7.18,A2/3mA4-A7  ,6.84,0.266
1.89,A0V         ,9.23,-0.001
1.07,O9Ib        ,8.56,0.231
12.66,G3V         ,8.77,0.653
9.81,F2V         ,8.15,0.404
3.84,B9IV/Vn...  ,8.77,-0.03
1.99,G8/K0III    ,8.26,1.008
61.28,M           ,11.62,1.5
6.7,F0III/IV    ,8.5,0.366
1.35,K3III       ,7.95,1.337
8.58,K1III       ,8.69,1.006
6.47,F8/G0V      ,9.36,0.589
17.21,G5IV/V      ,7.62,0.758
4.74,G5V         ,8.83,0.698
1.14,M1III       ,8.31,1.584
3.31,K1IIICN...  ,9.06,1.172
1.22,K0p...      ,8.54,1.176
2.97,K1/K2III:   ,8.88,1.232
1.66,K4III       ,8.57,1.641
2.18,G6/G8III    ,8.43,1.021
4.33,K0II/III    ,9.05,1.069
11.28,G2V         ,9.36,0.655
1.27,B8II        ,7.78,0.072
6.59,F0IV/V      ,8.99,0.299
3.46,Fm...       ,8.39,0.401
14.73,F8/G0V      ,8.01,0.584
11.64,G5V         ,9.23,0.727
10.37,F6V         ,8.91,0.477
1.76,K1/K2III:   ,8.99,1.249
3.89,B2IV-V      ,5.74,-0.101
0.08,G3Ib/II     ,7.57,1.099
3.81,A6III       ,8.52,0.305
-1.1,F0II        ,7.89,0.499
2.29,F2          ,8.15,0.636
3.73,K2III       ,7.94,1.311
-1.25,F8Ib-II     ,7.68,0.728
6.03,F6V         ,9,0.534
0.6,B9IV        ,8.8,0.088
-0.77,            ,10.4,0.07
20.61,G5IV        ,6.58,0.71
2.35,K4III       ,8.46,1.443
2.79,A1V         ,9.46,0.079
5.22,F2IV        ,8.81,0.356
8.63,F0/F2IV/V   ,8.02,0.394
1.71,G6III:      ,9.62,0.942
1.15,B8V         ,8.63,-0.055
0.41,K3III       ,7.38,1.656
10.3,F6V         ,8.08,0.498
2.34,K4III/IV    ,7.95,1.52
2.97,G0Iab       ,7.25,0.872
2.95,G6III       ,9.33,0.879
22.85,G5          ,8.83,0.705
0.39,B9III/IV    ,8.08,0.093
6.82,G8III/IV    ,8.84,0.891
1.67,K0III       ,8.22,1.255
7.17,A3/A4V      ,7.97,0.163
8.91,K0III       ,6.1,1.013
10.93,G8III       ,5.63,0.983
9.58,F7V         ,9.32,0.5
15.63,A5V         ,6.75,0.248
11.79,F5IV        ,7.53,0.455
4,B8III/IV    ,8.04,0.043
5.16,K0III       ,7.72,1.129
-0.35,B8/B9III    ,9.33,0.1
1.11,K3III       ,8.58,1.541
2.53,K0III       ,8.59,1.126
7.33,A8IV/V      ,8.29,0.267
4.29,F2IV/V      ,8.22,0.419
4.55,K0III       ,8.32,0.978
-0.82,B8V         ,9.87,0.1
1.2,G0Ib        ,8.22,0.871
11.56,G8/K1 + F/G ,4.76,0.795
5.89,K5III       ,7.96,1.581
4.34,K1III       ,8.61,1.105
0.49,K2          ,8.73,1.64
3.12,B7III       ,6.88,-0.087
5.41,K0III       ,3.67,1.25
5.25,F3IV/V      ,9.07,0.618
5.47,G6/G8V      ,9.06,0.972
4.87,K0III       ,7.73,1.139
3.11,A6/A7IV/V   ,8.42,0.302
17.89,            ,11.45,1.31
3.41,G8          ,8.17,1.014
3.17,B9V         ,8.09,0.04
10.54,A6IV        ,7.01,0.2
